,longtitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,price,prediction
12131,-117.22,33.93,14,5104,1026.0,3513,972,3.2148,INLAND,117000,116434.0
16798,-122.44,37.66,36,1447,276.0,799,275,4.7639,NEAR OCEAN,265600,265491.0
10739,-117.92,33.57,37,3355,492.0,921,366,7.2988,NEAR OCEAN,500001,493434.89
7204,-118.18,34.02,35,661,142.0,720,143,2.8977,<1H OCEAN,142500,142612.0
7009,-118.07,33.97,36,1887,370.0,1006,329,3.1554,<1H OCEAN,170700,176117.0
15124,-116.88,32.86,9,3049,471.0,1527,515,5.0733,<1H OCEAN,196600,191056.0
4631,-118.3,34.06,20,1782,896.0,1749,823,2.2094,<1H OCEAN,75000,157091.01
5003,-118.32,34.02,50,1655,256.0,672,260,4.2554,<1H OCEAN,194300,189049.0
8123,-118.18,33.8,30,2734,758.0,2951,691,1.7689,NEAR OCEAN,117600,130880.01
19270,-122.76,38.45,8,5823,1104.0,2864,1041,3.6292,<1H OCEAN,183600,188925.0
4235,-118.31,34.11,52,1875,303.0,735,293,5.8659,<1H OCEAN,433300,422810.05
919,-121.96,37.51,22,5811,1125.0,3215,1086,4.4107,<1H OCEAN,223500,229406.0
3665,-118.37,34.22,17,1787,463.0,1671,448,3.5521,<1H OCEAN,151500,159262.0
6215,-117.91,34.07,33,2938,561.0,1519,549,4.5594,<1H OCEAN,204200,202488.0
14583,-117.18,32.84,30,2290,523.0,1272,472,3.5606,NEAR OCEAN,165100,171379.0
15381,-117.19,33.41,16,3031,554.0,1301,518,4.0882,<1H OCEAN,296100,268062.0
6791,-118.15,34.08,44,1053,251.0,941,256,3.125,<1H OCEAN,205600,194649.0
14727,-117.01,32.79,33,4015,663.0,1864,664,4.3152,<1H OCEAN,159300,166174.0
9829,-121.91,36.62,52,1220,267.0,488,265,3.7454,<1H OCEAN,243800,252798.01
16108,-122.5,37.74,40,2310,445.0,1266,490,3.7969,NEAR OCEAN,297800,287142.0
15040,-116.95,32.78,33,2432,443.0,1147,427,3.3906,<1H OCEAN,138100,144492.0
18097,-122.05,37.33,17,3674,824.0,1364,694,6.3131,<1H OCEAN,436400,418362.16
484,-122.27,37.86,52,2307,583.0,1127,548,1.8447,NEAR BAY,198200,203616.0
18082,-122.04,37.26,24,4973,709.0,1692,696,7.8627,<1H OCEAN,500001,467974.62
17687,-121.84,37.29,24,3403,656.0,2829,612,4.775,<1H OCEAN,191900,196118.0
17917,-121.99,37.36,33,2545,467.0,1287,458,5.5,<1H OCEAN,282200,282144.0
16259,-121.26,37.97,41,2398,448.0,1143,444,3.0352,INLAND,69800,85070.0
9673,-118.45,37.7,15,2199,453.0,899,347,2.35,INLAND,107800,110274.0
19902,-119.28,36.32,29,2274,514.0,1234,521,1.9138,INLAND,66900,67263.0
18457,-121.8,37.23,18,3179,526.0,1663,507,5.9225,<1H OCEAN,265800,256143.0
7412,-118.22,33.95,42,3896,981.0,4496,993,3.153,<1H OCEAN,150900,161776.0
13088,-121.35,38.55,18,4481,780.0,2211,775,3.9934,INLAND,123300,132829.0
1531,-122.05,37.87,30,2296,329.0,847,322,6.7192,NEAR BAY,397500,384020.02
6097,-117.87,34.11,23,4066,819.0,2105,737,4.6556,<1H OCEAN,199600,204402.0
9916,-122.3,38.33,15,4741,956.0,2043,856,4.1862,NEAR BAY,183600,185891.0
18523,-122.06,36.98,15,3385,669.0,1571,615,4.2254,NEAR OCEAN,320900,296881.01
2913,-119.07,35.36,19,5254,894.0,2155,831,4.6705,INLAND,110700,120059.0
16414,-121.24,37.9,16,50,10.0,20,6,2.625,INLAND,137500,148166.05
16260,-121.25,37.97,41,855,189.0,716,206,2.0375,INLAND,75000,79499.0
14753,-117.05,32.56,18,1215,320.0,1195,349,1.9875,NEAR OCEAN,114900,114461.0
11123,-117.92,33.85,44,1231,258.0,682,244,3.2344,<1H OCEAN,170100,179615.0
19438,-121.01,37.68,33,828,123.0,373,133,5.5,INLAND,146200,164635.0
11964,-117.43,34.02,33,3084,570.0,1753,449,3.05,INLAND,97800,100259.0
16706,-120.3,35.1,16,2819,479.0,1068,365,4.5461,<1H OCEAN,270800,273600.02
3562,-118.58,34.25,23,4883,769.0,2119,725,5.521,<1H OCEAN,280800,279311.0
18228,-122.09,37.41,18,1476,473.0,838,415,3.575,NEAR BAY,274000,266227.0
16657,-120.66,35.27,17,2719,589.0,1386,570,3.7337,NEAR OCEAN,208200,207635.0
20076,-120.4,38.06,12,1430,310.0,517,240,2.6544,INLAND,128100,122137.0
5098,-118.31,33.97,52,1595,325.0,823,302,3.2188,<1H OCEAN,124200,126855.0
12056,-117.58,33.87,42,765,171.0,590,177,1.6875,INLAND,113500,111155.0
20459,-118.77,34.28,26,2873,480.0,1915,475,5.3681,<1H OCEAN,187700,198860.0
12798,-121.45,38.62,38,2419,605.0,1696,503,1.4861,INLAND,63100,64358.0
2680,-115.51,32.99,20,1402,287.0,1104,317,1.9088,INLAND,63700,63238.0
14235,-117.03,32.69,5,3201,532.0,2061,536,5.0829,NEAR OCEAN,179400,184024.0
19118,-122.65,38.23,52,1923,393.0,910,345,3.45,<1H OCEAN,200600,207286.0
716,-122.09,37.68,29,2333,538.0,1120,540,2.4042,NEAR BAY,205600,197287.0
519,-122.25,37.82,52,2474,403.0,1104,398,5.883,NEAR BAY,340700,357962.07
19312,-122.86,38.44,31,1534,292.0,716,288,3.4471,<1H OCEAN,209500,200880.0
13086,-121.34,38.58,17,1605,258.0,748,262,5.0917,INLAND,134100,142730.0
11046,-117.82,33.81,25,2662,402.0,1247,401,5.4395,<1H OCEAN,244000,242100.0
1175,-121.57,39.48,15,202,54.0,145,40,0.8252,INLAND,42500,56281.91
17454,-120.37,34.69,18,1868,315.0,747,265,4.7946,NEAR OCEAN,290600,281709.05
8857,-118.39,34.07,45,3143,553.0,1153,564,5.7762,<1H OCEAN,500001,485101.79
4034,-118.56,34.17,35,2987,391.0,1244,387,7.1322,<1H OCEAN,500001,477806.73
11345,-117.92,33.75,19,1920,471.0,1413,432,4.0313,<1H OCEAN,147500,158771.0
18695,-122.39,40.58,44,1625,392.0,944,347,1.5972,INLAND,68900,66144.0
18580,-121.76,36.92,20,2687,637.0,2154,610,2.6434,<1H OCEAN,169700,166386.0
9103,-117.96,34.53,10,2907,559.0,1681,531,3.8594,INLAND,141000,139102.0
13651,-117.31,34.05,6,7423,2111.0,4092,1789,2.7002,INLAND,88300,96641.0
17949,-121.96,37.34,36,844,153.0,373,160,5.791,<1H OCEAN,254100,282762.02
14124,-117.08,32.75,20,1886,586.0,1134,525,1.5029,NEAR OCEAN,100000,113675.01
8660,-118.39,33.85,17,1610,379.0,670,341,4.3594,<1H OCEAN,349000,360923.03
6486,-118.03,34.08,32,1780,484.0,1732,454,2.4464,INLAND,169600,173094.0
1064,-121.85,39.75,39,568,127.0,267,129,1.8095,INLAND,78100,76284.0
12484,-121.49,38.58,52,569,405.0,509,367,0.9196,INLAND,137500,123711.0
2048,-119.73,36.72,26,2645,1005.0,1660,991,0.6991,INLAND,89500,86907.0
5763,-118.29,34.16,42,413,107.0,349,107,4.3438,<1H OCEAN,189800,208724.0
9595,-120.44,37.31,16,3369,532.0,1770,574,5.2662,INLAND,126200,140513.0
1433,-122.03,37.99,37,1755,327.0,882,350,4.59,NEAR BAY,166600,178603.0
12410,-116.24,33.72,25,5236,1039.0,2725,935,3.775,INLAND,93400,96619.0
19792,-123.28,40.77,25,767,206.0,301,121,1.625,INLAND,79200,74592.0
19252,-122.79,38.48,7,6837,,3468,1405,3.1662,<1H OCEAN,191000,191673.0
104,-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,NEAR BAY,335700,303867.0
15114,-117.0,32.87,18,11544,1979.0,6296,1923,4.4904,<1H OCEAN,150400,171821.0
13262,-117.65,34.1,19,1688,365.0,622,322,3.6,INLAND,136400,146162.0
6031,-117.72,34.08,34,2742,491.0,1761,496,3.2481,INLAND,128800,130686.0
2201,-119.85,36.83,11,2497,427.0,1101,405,4.8036,INLAND,141600,131372.0
16354,-121.31,38.03,24,3050,568.0,1743,549,3.7413,INLAND,105300,116981.0
11399,-117.96,33.72,23,3929,559.0,1858,538,6.8645,<1H OCEAN,318200,317999.0
19215,-122.71,38.45,52,2259,537.0,957,520,2.1827,<1H OCEAN,188800,175357.0
3775,-118.41,34.16,14,577,150.0,372,130,4.1875,<1H OCEAN,275000,297437.03
12884,-121.34,38.66,16,3154,860.0,1837,793,1.9805,INLAND,92900,106330.0
12382,-116.38,33.73,10,11836,2405.0,3811,1570,4.0079,INLAND,134500,148223.02
868,-122.06,37.58,15,8112,1376.0,4576,1348,5.6758,NEAR BAY,253400,252880.0
13225,-117.69,34.03,20,6374,1412.0,3690,1350,3.4184,INLAND,162500,158237.0
16591,-121.44,37.73,7,8363,1314.0,3907,1068,5.3321,INLAND,208100,209383.0
7508,-118.27,33.91,37,3018,547.0,1720,512,2.7269,<1H OCEAN,124100,129140.0
13241,-117.66,34.13,19,3995,554.0,1523,509,6.075,INLAND,254100,242191.0
5931,-117.83,34.14,26,8254,1153.0,3460,1131,6.5253,INLAND,349900,320028.0
19602,-121.02,37.58,36,1285,270.0,706,273,1.7169,INLAND,121400,105590.0
19241,-122.75,38.54,6,6719,1016.0,2699,997,5.4886,<1H OCEAN,254200,251678.0
1733,-122.35,37.97,43,2178,482.0,1545,471,2.5863,NEAR BAY,112200,111886.0
12252,-117.0,33.74,8,5330,1529.0,2143,1107,2.1103,INLAND,94400,99138.0
938,-122.03,37.54,6,2918,672.0,1911,639,4.1406,NEAR BAY,178200,195617.0
5520,-118.39,33.97,46,2198,352.0,839,335,6.5778,<1H OCEAN,350800,383530.17
18928,-122.19,38.09,8,614,118.0,278,115,6.3735,NEAR BAY,166300,192505.0
14269,-117.12,32.69,46,200,77.0,180,65,1.0658,NEAR OCEAN,93800,91095.0
14725,-117.01,32.8,17,1558,479.0,803,431,2.6934,<1H OCEAN,160200,156812.0
10606,-117.81,33.68,8,1964,413.0,913,406,5.1583,<1H OCEAN,192200,212164.0
5558,-118.45,33.96,24,3097,791.0,1075,639,5.723,<1H OCEAN,500001,474144.78
13415,-117.42,34.06,27,2532,495.0,1305,436,2.9107,INLAND,143100,128544.0
10229,-117.93,33.86,36,931,279.0,778,303,2.6563,<1H OCEAN,155000,163534.0
10319,-117.79,33.84,9,10484,1603.0,4005,1419,8.3931,<1H OCEAN,365300,377959.0
17232,-119.69,34.43,43,1257,311.0,671,263,2.875,<1H OCEAN,280600,284724.02
2748,-115.57,32.78,15,1413,279.0,803,277,4.3021,INLAND,87500,94211.0
17772,-121.85,37.36,15,3148,1116.0,3556,1037,3.0466,<1H OCEAN,159600,165885.0
15632,-122.41,37.8,52,1394,395.0,1700,400,2.75,NEAR BAY,168800,226525.06
9797,-121.92,36.57,42,3944,738.0,1374,598,4.174,NEAR OCEAN,394400,371129.0
10198,-117.93,33.88,52,2157,362.0,1001,373,5.1237,<1H OCEAN,240000,259703.02
16511,-121.25,37.76,22,2430,417.0,1292,391,3.4009,INLAND,182400,162663.0
1184,-121.52,39.49,30,1217,238.0,677,233,2.6563,INLAND,63600,67071.0
10865,-117.88,33.71,20,1738,509.0,1403,411,3.1742,<1H OCEAN,245000,215276.0
9137,-118.35,34.52,14,3490,592.0,1710,580,5.9171,INLAND,333300,278399.0
18856,-122.27,41.23,40,1958,386.0,725,331,2.1898,INLAND,65500,65347.0
16623,-120.83,35.36,28,4323,886.0,1650,705,2.7266,NEAR OCEAN,266800,250291.0
19929,-119.32,36.31,21,2309,424.0,1047,453,2.9886,INLAND,87500,88252.0
6843,-118.13,34.07,20,2130,654.0,1870,578,2.3664,<1H OCEAN,192200,191496.0
7498,-118.25,33.92,46,723,154.0,411,165,2.0893,<1H OCEAN,96500,99189.0
7445,-118.16,33.94,32,2210,456.0,1270,484,4.7708,<1H OCEAN,178600,198470.0
1564,-121.92,37.74,8,452,51.0,140,43,12.5915,<1H OCEAN,432400,454559.3
5190,-118.27,33.93,36,1467,369.0,1247,347,1.8191,<1H OCEAN,92700,93017.0
3522,-118.5,34.27,35,2235,390.0,1148,416,4.869,<1H OCEAN,221600,220967.0
12141,-117.2,33.83,14,1265,230.0,621,173,3.6618,INLAND,161300,156013.0
6316,-118.02,34.02,21,5992,986.0,2647,969,5.2405,<1H OCEAN,302400,287913.0
19665,-120.82,37.51,17,1664,253.0,736,254,4.4083,INLAND,165800,157287.0
14761,-117.06,32.55,5,3223,940.0,3284,854,1.4384,NEAR OCEAN,108800,120903.0
4574,-118.27,34.07,33,1177,468.0,1533,430,2.3981,<1H OCEAN,183300,182363.0
13146,-121.57,38.19,36,1395,264.0,700,244,2.4353,INLAND,162500,134591.0
12115,-117.25,33.95,5,13096,2208.0,6780,2180,4.2775,INLAND,138700,138931.0
10281,-117.82,33.89,21,3079,509.0,1431,480,4.0714,<1H OCEAN,278900,239106.0
8251,-118.18,33.78,26,3042,1253.0,4812,1141,1.7701,NEAR OCEAN,146200,153557.0
14416,-117.24,32.79,20,961,278.0,525,254,3.1838,NEAR OCEAN,245800,239721.01
18387,-121.89,37.23,16,3574,466.0,1503,487,8.1988,<1H OCEAN,355900,366294.02
648,-122.13,37.72,25,1134,153.0,340,171,6.5095,NEAR BAY,371200,342642.01
15849,-122.44,37.74,52,2074,366.0,909,394,4.8382,NEAR BAY,294900,311527.04
12653,-121.45,38.52,37,1705,325.0,827,326,2.6288,INLAND,71200,77632.0
15521,-117.07,33.13,33,555,165.0,612,176,2.1786,<1H OCEAN,137500,137230.0
5672,-118.33,33.69,41,2168,357.0,1171,374,4.7216,NEAR OCEAN,311900,323220.0
18334,-122.16,37.45,37,2926,874.0,1363,815,4.5987,NEAR BAY,356000,355208.05
5125,-118.27,33.98,30,1966,584.0,2028,535,1.625,<1H OCEAN,101500,101406.0
5664,-118.28,33.73,45,2137,559.0,1550,529,1.9167,NEAR OCEAN,227200,228467.0
10038,-121.04,39.22,14,1889,471.0,853,399,2.25,INLAND,112500,115600.0
11540,-118.0,33.74,25,2767,346.0,1148,372,6.394,<1H OCEAN,316700,315611.01
15641,-122.42,37.8,52,3321,1115.0,1576,1034,2.0987,NEAR BAY,458300,401985.04
17274,-119.7,34.41,19,2086,575.0,1701,530,2.8042,NEAR OCEAN,236100,242618.02
19091,-122.61,38.23,18,2042,420.0,914,400,2.9871,<1H OCEAN,193800,193486.0
17387,-120.44,34.97,26,1705,344.0,1605,307,3.7589,<1H OCEAN,113700,127738.0
10683,-117.77,33.53,32,3116,661.0,1105,543,5.1837,<1H OCEAN,445600,441396.21
15796,-122.42,37.76,52,3587,1030.0,2259,979,2.5403,NEAR BAY,250000,264330.0
12312,-116.48,33.61,8,1294,272.0,457,199,2.9167,INLAND,115300,134220.0
14093,-117.11,32.76,19,2188,616.0,1304,607,2.0852,NEAR OCEAN,114400,118602.0
13037,-121.18,38.67,42,2101,480.0,945,426,2.3333,INLAND,116000,109301.0
3705,-118.39,34.19,41,2000,485.0,1439,461,3.0491,<1H OCEAN,192000,200829.0
6210,-117.9,34.07,35,1646,294.0,1056,280,3.055,<1H OCEAN,172000,171149.0
11910,-117.41,33.96,24,4481,901.0,2398,823,3.864,INLAND,123400,123237.0
19858,-119.29,36.35,15,1740,319.0,1332,308,2.5743,INLAND,60200,67094.0
16034,-122.46,37.72,47,1723,389.0,1216,399,3.3208,NEAR OCEAN,238600,235609.0
3093,-118.48,35.61,17,4002,930.0,1614,731,1.6236,INLAND,67300,72092.0
7125,-118.04,33.9,36,15,5.0,15,6,0.4999,<1H OCEAN,162500,181260.06
9407,-122.56,37.9,36,1760,283.0,562,246,6.7546,NEAR BAY,402400,413199.18
10088,-117.97,33.94,34,1632,263.0,690,268,5.5608,<1H OCEAN,255800,255532.0
15625,-122.41,37.8,52,4088,946.0,1906,863,3.6065,NEAR BAY,433300,420315.09
330,-122.18,37.73,42,4074,874.0,2736,780,2.455,NEAR BAY,82400,111534.0
19680,-121.63,39.15,27,2991,637.0,1419,606,1.8849,INLAND,73500,72594.0
9142,-117.89,34.49,12,3449,598.0,1502,540,3.7043,INLAND,150800,147739.0
19212,-122.71,38.45,39,2739,573.0,1223,569,2.9663,<1H OCEAN,185400,179325.0
15861,-122.39,37.76,52,3390,691.0,1645,596,3.7051,NEAR BAY,253700,267965.0
19409,-120.92,37.7,24,527,112.0,270,112,1.6172,INLAND,156300,131071.0
19233,-122.66,38.47,20,2806,477.0,1369,460,4.75,<1H OCEAN,190500,206797.0
9464,-123.84,39.46,47,1150,244.0,552,201,2.5192,<1H OCEAN,110400,115868.0
14282,-117.13,32.72,32,2197,623.0,1784,599,1.901,NEAR OCEAN,120300,123560.0
12872,-121.35,38.7,5,14414,2979.0,7608,2832,3.5802,INLAND,129600,126530.0
252,-122.21,37.77,52,591,173.0,353,137,4.0904,NEAR BAY,80600,122315.0
2831,-119.01,35.39,29,1820,459.0,1134,419,1.8289,INLAND,59400,59353.0
19006,-121.98,38.32,45,19,5.0,7460,6,10.2264,INLAND,137500,217136.07
20473,-118.76,34.26,26,1929,293.0,1067,320,5.4038,<1H OCEAN,222100,231111.0
7756,-118.12,33.91,35,1518,279.0,857,251,3.6917,<1H OCEAN,197500,197645.0
15664,-122.44,37.8,52,1724,412.0,540,319,4.2857,NEAR BAY,500001,498558.94
3633,-118.42,34.23,34,1550,279.0,1011,288,4.5375,<1H OCEAN,189000,186666.0
2845,-118.96,35.4,28,4667,875.0,2404,841,3.2325,INLAND,89000,87161.0
7714,-118.12,33.95,36,2752,459.0,1211,452,5.0526,<1H OCEAN,269800,257640.0
2769,-115.98,33.32,8,240,46.0,63,24,1.4688,INLAND,53800,58474.0
14698,-117.09,32.79,31,2019,417.0,872,386,3.1964,NEAR OCEAN,177700,173462.0
1120,-121.59,39.77,24,1535,276.0,664,273,2.3068,INLAND,97300,91780.0
2375,-119.58,36.69,42,1032,215.0,812,225,1.9766,INLAND,58100,58940.0
819,-122.07,37.63,35,1931,376.0,1175,337,3.7292,NEAR BAY,168100,169292.0
15500,-117.26,33.09,22,2398,407.0,349,169,7.0423,NEAR OCEAN,500001,441258.63
6319,-117.97,34.0,28,1983,375.0,1407,367,3.8319,<1H OCEAN,179000,178918.0
8105,-118.21,33.79,39,1598,458.0,1691,399,2.3605,NEAR OCEAN,141800,144054.0
7993,-118.15,33.85,30,4071,1067.0,2144,970,2.7268,<1H OCEAN,218100,205090.0
10460,-117.63,33.47,4,2320,405.0,1408,477,6.3369,NEAR OCEAN,256000,281236.01
3980,-118.61,34.19,34,703,127.0,369,127,4.3125,<1H OCEAN,210100,224180.0
2938,-118.94,35.36,19,2714,512.0,1823,500,3.1281,INLAND,76200,77746.0
6812,-118.07,34.09,33,2178,445.0,1153,400,3.6083,<1H OCEAN,212000,212210.0
8344,-118.34,33.93,35,1213,284.0,742,253,4.0625,<1H OCEAN,159900,167041.0
2638,-124.14,40.59,22,1665,405.0,826,382,1.5625,NEAR OCEAN,66800,71514.0
19262,-122.73,38.44,20,2919,508.0,1711,500,3.875,<1H OCEAN,140300,160369.0
11861,-120.71,40.13,19,897,180.0,276,110,2.9554,INLAND,89400,87787.0
2777,-115.73,33.36,19,749,238.0,476,169,1.7727,INLAND,50000,56157.0
10327,-117.77,33.85,13,5415,827.0,2061,714,7.3681,<1H OCEAN,353100,336574.0
7884,-118.13,33.87,20,3638,868.0,2326,822,3.3304,<1H OCEAN,194600,193752.0
7209,-118.17,34.03,41,2099,530.0,2325,528,2.1979,<1H OCEAN,140800,140224.0
8396,-118.37,33.95,35,924,349.0,1376,358,2.2297,<1H OCEAN,262500,220885.0
16399,-121.24,38.0,25,1471,300.0,721,304,2.4688,INLAND,126800,115387.0
20557,-121.78,38.68,43,3766,847.0,1855,817,2.3468,INLAND,119400,118304.0
20599,-121.56,39.16,35,2157,441.0,1009,409,1.5827,INLAND,63000,60519.0
17494,-119.79,34.4,20,3104,415.0,1061,380,9.6885,NEAR OCEAN,500001,498622.97
11709,-120.18,39.14,25,2171,386.0,248,116,3.0375,INLAND,171900,162923.0
6016,-117.78,34.06,33,1056,272.0,964,300,2.4464,INLAND,128700,129634.0
8844,-118.39,34.09,28,2347,608.0,785,548,4.4167,<1H OCEAN,425000,423029.14
11509,-118.1,33.74,33,2119,524.0,872,465,4.537,NEAR OCEAN,495500,465885.11
4102,-118.39,34.14,19,5076,1034.0,2021,960,5.5683,<1H OCEAN,309200,341809.14
13063,-121.33,38.56,17,3608,682.0,1694,666,3.311,INLAND,109400,116424.0
18925,-122.15,38.06,10,3008,532.0,1381,522,5.3661,NEAR BAY,195800,199532.0
2750,-115.59,32.69,30,935,177.0,649,148,2.5769,INLAND,94400,92824.0
4393,-118.27,34.08,46,3007,854.0,2587,814,2.7179,<1H OCEAN,184300,188958.0
210,-122.22,37.79,44,1487,314.0,961,272,3.5156,NEAR BAY,109500,144306.0
2070,-119.89,36.7,32,1485,269.0,867,271,2.5809,INLAND,78300,76827.0
7858,-118.14,33.89,33,2867,786.0,1774,705,2.9292,<1H OCEAN,183400,185282.0
13050,-121.32,38.59,24,4378,910.0,2149,812,2.5035,INLAND,123700,123845.0
10808,-117.93,33.64,31,1291,356.0,1252,373,2.7143,<1H OCEAN,185400,201236.0
297,-122.17,37.76,47,2118,413.0,965,382,2.1842,NEAR BAY,107900,103703.0
5306,-118.44,34.06,9,5102,1695.0,2609,1450,3.2545,<1H OCEAN,500001,435224.7
20510,-121.54,38.59,29,2242,493.0,1481,478,2.0781,INLAND,74800,77625.0
15133,-116.93,32.83,21,1283,278.0,684,289,2.3203,<1H OCEAN,163500,169039.01
14603,-117.16,32.8,22,2259,634.0,1213,601,2.5,NEAR OCEAN,177800,175802.0
1043,-120.93,38.26,13,2084,449.0,834,305,3.2937,INLAND,114200,125781.0
11402,-117.92,33.73,17,1692,293.0,934,280,4.4728,<1H OCEAN,205800,201622.0
18918,-122.16,38.05,52,1888,457.0,830,408,3.1373,NEAR BAY,185100,176156.0
20535,-121.74,38.55,34,2299,579.0,1300,536,1.6435,INLAND,148500,123875.0
2117,-119.73,36.76,30,1548,282.0,886,311,3.1,INLAND,71300,74867.0
10449,-117.67,33.46,24,3571,722.0,1409,543,4.6518,<1H OCEAN,277800,257506.01
15940,-122.41,37.72,35,2104,434.0,1225,410,4.8214,NEAR BAY,242900,250710.0
1747,-122.36,37.96,30,950,317.0,1073,280,1.8664,NEAR BAY,107800,102874.0
12559,-121.45,38.54,41,1278,308.0,839,280,1.4702,INLAND,58300,60530.0
12732,-121.36,38.58,25,3196,406.0,978,419,8.4699,INLAND,344000,338526.02
3133,-118.27,34.92,20,873,175.0,422,159,2.9583,INLAND,91700,91593.0
19937,-119.38,36.3,14,1932,330.0,997,291,3.6875,INLAND,93200,91303.0
19909,-119.3,36.33,44,2060,414.0,819,355,2.8795,INLAND,77000,78403.0
19946,-119.35,36.22,32,1290,304.0,852,309,1.4429,INLAND,54600,53039.0
8565,-118.42,33.92,41,1621,279.0,756,277,5.0594,<1H OCEAN,346000,347356.03
20281,-119.19,34.18,32,3366,677.0,2857,669,4.6186,NEAR OCEAN,181100,190710.0
12066,-117.56,33.83,28,895,127.0,346,115,5.4788,INLAND,339300,323590.1
1583,-121.97,37.87,4,1029,126.0,416,122,13.4883,INLAND,500001,492425.84
1082,-121.84,39.73,52,857,232.0,520,198,0.987,INLAND,112500,98271.0
13058,-121.27,38.61,17,6663,1369.0,2840,1299,2.9452,INLAND,115600,119056.0
2257,-119.84,36.8,19,3244,776.0,1463,710,2.0469,INLAND,66900,69548.0
6876,-118.1,34.07,36,1240,349.0,1383,338,2.4931,<1H OCEAN,170300,175066.0
12192,-117.38,33.67,17,10145,2306.0,4776,1749,2.2423,<1H OCEAN,132600,138017.0
15494,-117.21,33.12,4,3261,689.0,926,561,4.3672,NEAR OCEAN,258900,251750.01
6623,-118.14,34.18,52,1700,317.0,996,329,3.9688,<1H OCEAN,175000,190355.0
1826,-122.31,37.92,30,1014,236.0,537,204,2.8456,NEAR BAY,183300,179530.0
8550,-118.35,33.88,36,1567,362.0,1054,386,3.2594,<1H OCEAN,233900,237802.0
9927,-122.31,38.31,32,2577,458.0,1172,447,3.8796,NEAR BAY,175500,167690.0
5594,-118.26,33.79,30,1291,230.0,835,215,5.5,<1H OCEAN,181500,189656.0
2971,-119.09,35.35,14,2113,256.0,842,265,8.5325,INLAND,224100,250673.0
1177,-121.54,39.5,38,1438,310.0,779,275,1.3289,INLAND,39400,47425.0
5174,-118.27,33.95,34,987,248.0,902,221,2.3365,<1H OCEAN,98000,100564.0
20088,-120.25,38.04,22,4173,763.0,1086,444,2.5562,INLAND,136200,130065.0
6627,-118.14,34.17,40,1054,251.0,1056,276,2.3,<1H OCEAN,146700,158720.0
8701,-118.35,33.86,28,2075,463.0,1216,446,3.9732,<1H OCEAN,281500,278997.0
7285,-118.24,33.98,45,972,249.0,1288,261,2.2054,<1H OCEAN,125000,122424.0
3206,-119.64,36.35,30,1765,310.0,746,298,2.8125,INLAND,70200,73091.0
5048,-118.37,34.02,33,2263,430.0,900,382,4.4028,<1H OCEAN,246800,272500.03
6476,-118.08,34.09,34,1823,457.0,1485,401,3.7222,<1H OCEAN,207200,198848.0
8968,-118.4,33.99,36,1280,240.0,704,217,5.9632,<1H OCEAN,328100,347132.03
6986,-118.03,33.97,39,1996,389.0,1029,387,4.65,<1H OCEAN,224300,221206.0
16991,-122.28,37.55,17,4199,629.0,2020,630,6.1228,NEAR BAY,375700,359724.01
4552,-118.24,34.04,52,116,107.0,171,92,1.0769,<1H OCEAN,112500,158515.04
15468,-117.19,33.18,7,3561,722.0,1921,657,4.1128,<1H OCEAN,209700,216594.0
32,-122.27,37.84,48,1922,409.0,1026,335,1.7969,NEAR BAY,110400,118020.0
1355,-121.92,38.03,16,2176,464.0,1410,434,3.5436,INLAND,100200,112805.0
11228,-117.94,33.81,24,4602,1131.0,3003,1014,3.6771,<1H OCEAN,172200,180467.0
19986,-119.32,36.21,25,2360,460.0,1424,436,2.3152,INLAND,63100,62551.0
7684,-118.11,33.92,34,1414,263.0,983,264,4.1767,<1H OCEAN,156600,166364.0
3871,-118.54,34.21,22,6064,1826.0,4876,1697,2.875,<1H OCEAN,227100,223815.0
16507,-121.11,37.74,11,3886,599.0,1605,529,4.4213,INLAND,182700,173352.0
4232,-118.3,34.1,37,5305,1980.0,3895,1874,2.0672,<1H OCEAN,283300,271382.0
11715,-120.12,39.18,17,2839,525.0,390,189,3.5667,INLAND,179200,159890.0
2776,-114.98,33.07,18,1183,363.0,374,127,3.1607,INLAND,57500,68694.0
12690,-121.37,38.57,22,4899,847.0,1701,826,5.2449,INLAND,387000,310952.0
4258,-118.34,34.11,51,937,348.0,527,333,4.3571,<1H OCEAN,468800,441569.03
5762,-118.29,34.16,31,1262,338.0,1019,332,3.7083,<1H OCEAN,241900,244951.0
11720,-120.11,39.24,21,3005,574.0,385,150,3.1193,INLAND,153300,154275.0
11231,-117.95,33.82,35,1117,181.0,496,168,4.3269,<1H OCEAN,224700,218042.0
11610,-118.05,33.78,25,2356,330.0,937,326,6.6264,<1H OCEAN,359100,343828.0
19175,-122.65,38.37,15,1848,280.0,786,282,5.7204,<1H OCEAN,344100,308511.02
9603,-120.49,37.3,50,985,309.0,621,250,1.3125,INLAND,60900,65250.0
3523,-118.51,34.28,34,3580,565.0,1694,524,5.4065,<1H OCEAN,243800,247508.01
20021,-119.06,36.08,19,2554,443.0,1301,419,4.1856,INLAND,72100,82080.0
20229,-119.3,34.27,17,1527,503.0,688,423,1.6007,NEAR OCEAN,187500,197709.01
3296,-122.68,38.98,27,2300,508.0,526,254,2.1838,INLAND,109700,100297.0
